University of Peradeniya
Profile,Verified Email,Citations,URL
Samath D Dharmaratne,pdn.ac.lk,91774,https://scholar.google.com/citations?hl=en&user=uYohpJEAAAAJ
Janaka Ekanayake,ee.pdn.ac.lk,12233,https://scholar.google.com/citations?hl=en&user=yqup6Q8AAAAJ
Ayesh Jayasinghe,ahs.pdn.ac.lk,11020,https://scholar.google.com/citations?hl=en&user=Lru3124AAAAJ
Himal A. Suraweera,ee.pdn.ac.lk,7868,https://scholar.google.com/citations?hl=en&user=r_QyMNwAAAAJ
Niranjan Rajapakse,pdn.ac.lk,5598,https://scholar.google.com/citations?hl=en&user=IOffSFwAAAAJ
Eresha Mendis,pdn.ac.lk,5539,https://scholar.google.com/citations?hl=en&user=dKJc3-IAAAAJ
IAU Nimal Gunatilleke,pdn.ac.lk,4755,https://scholar.google.com/citations?hl=en&user=kN13ukYAAAAJ
JK Vidanarachchi,pdn.ac.lk,4703,https://scholar.google.com/citations?hl=en&user=nY8yOX0AAAAJ
Suresh de Mel,pdn.ac.lk,4189,https://scholar.google.com/citations?hl=en&user=yg3J5sIAAAAJ
WM Tilakaratne,pdn.ac.lk,4103,https://scholar.google.com/citations?hl=en&user=iESLIbwAAAAJ
SAM Kularatne,pdn.ac.lk,3649,https://scholar.google.com/citations?hl=en&user=-pioi7UAAAAJ
DAAC Ratnaweera,pdn.ac.lk,3633,https://scholar.google.com/citations?hl=en&user=4HRkiEkAAAAJ
Chandani Perera,pdn.ac.lk,3153,https://scholar.google.com/citations?hl=en&user=eJkU4t0AAAAJ
Dr. Fahim Mohamed,pdn.ac.lk,2903,https://scholar.google.com/citations?hl=en&user=MQmalmEAAAAJ
SHP Parakrama Karunaratne,pdn.ac.lk,2900,https://scholar.google.com/citations?hl=en&user=FhZsN98AAAAJ
Nishan Sudheera Kalupahana,pdn.ac.lk,2815,https://scholar.google.com/citations?hl=en&user=qqxhk9sAAAAJ
Rohana Chandrajith,pdn.ac.lk,2796,https://scholar.google.com/citations?hl=en&user=kd7r8CUAAAAJ
Indika Gawarammana,pdn.ac.lk,2669,https://scholar.google.com/citations?hl=en&user=UCDtGiEAAAAJ
